"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2016","6,986.57","6,958.09","7,003.93","6,924.05","961.78M","0.41%"
"Oct 26, 2016","6,958.09","7,017.64","7,017.64","6,917.77","939.84M","-0.85%"
"Oct 25, 2016","7,017.64","6,986.40","7,067.23","6,985.92","861.00M","0.45%"
"Oct 24, 2016","6,986.40","7,020.47","7,067.34","6,983.40","677.60M","-0.49%"
"Oct 21, 2016","7,020.47","7,026.90","7,058.39","7,011.09","757.85M","-0.09%"
"Oct 20, 2016","7,026.90","7,021.92","7,047.55","6,998.84","843.64M","0.07%"
"Oct 19, 2016","7,021.92","7,000.06","7,031.20","6,975.92","823.09M","0.31%"
"Oct 18, 2016","7,000.06","6,947.55","7,033.02","6,946.39","795.84M","0.76%"
"Oct 17, 2016","6,947.55","7,013.55","7,013.55","6,937.43","727.72M","-0.94%"
"Oct 14, 2016","7,013.55","6,977.74","7,055.18","6,977.74","872.17M","0.51%"
"Oct 13, 2016","6,977.74","7,024.01","7,024.01","6,930.04","1.04B","-0.66%"
"Oct 12, 2016","7,024.01","7,070.88","7,079.42","7,015.76","937.94M","-0.66%"
"Oct 11, 2016","7,070.88","7,097.50","7,129.83","7,061.36","983.13M","-0.38%"
"Oct 10, 2016","7,097.50","7,044.39","7,104.49","7,024.08","874.92M","0.75%"
"Oct 07, 2016","7,044.39","6,999.96","7,079.25","6,999.96","1.40B","0.63%"
"Oct 06, 2016","6,999.96","7,033.25","7,049.34","6,999.96","821.63M","-0.47%"
"Oct 05, 2016","7,033.25","7,074.34","7,076.71","7,024.13","970.16M","-0.58%"
"Oct 04, 2016","7,074.34","6,983.52","7,121.93","6,983.52","1.45B","1.30%"
"Oct 03, 2016","6,983.52","6,899.33","6,996.43","6,898.09","745.41M","1.22%"
"Sep 30, 2016","6,899.33","6,919.42","6,919.42","6,809.51","1.18B","-0.29%"
"Sep 29, 2016","6,919.42","6,849.38","6,941.09","6,849.38","859.07M","1.02%"
"Sep 28, 2016","6,849.38","6,807.67","6,878.21","6,807.67","758.30M","0.61%"
"Sep 27, 2016","6,807.67","6,818.04","6,865.45","6,768.86","847.95M","-0.15%"
"Sep 26, 2016","6,818.04","6,909.43","6,909.63","6,806.47","795.94M","-1.32%"
"Sep 23, 2016","6,909.43","6,911.40","6,920.23","6,882.62","760.91M","-0.03%"
"Sep 22, 2016","6,911.40","6,834.77","6,937.33","6,834.77","756.01M","1.12%"
"Sep 21, 2016","6,834.77","6,830.79","6,879.81","6,830.47","722.08M","0.06%"
"Sep 20, 2016","6,830.79","6,813.55","6,869.10","6,798.02","715.57M","0.25%"
"Sep 19, 2016","6,813.55","6,710.28","6,813.95","6,710.28","706.09M","1.54%"
"Sep 16, 2016","6,710.28","6,730.30","6,746.29","6,692.73","1.39B","-0.30%"
"Sep 15, 2016","6,730.30","6,673.31","6,736.84","6,654.82","770.12M","0.85%"
"Sep 14, 2016","6,673.31","6,665.63","6,720.29","6,665.63","695.11M","0.12%"
"Sep 13, 2016","6,665.63","6,700.90","6,724.74","6,665.63","864.67M","-0.53%"
"Sep 12, 2016","6,700.90","6,776.95","6,776.95","6,654.48","887.97M","-1.12%"
"Sep 09, 2016","6,776.95","6,858.70","6,862.38","6,762.30","792.45M","-1.19%"
"Sep 08, 2016","6,858.70","6,846.58","6,889.64","6,819.82","807.43M","0.18%"
"Sep 07, 2016","6,846.58","6,826.05","6,856.12","6,814.87","938.66M","0.30%"
"Sep 06, 2016","6,826.05","6,879.42","6,887.92","6,818.96","687.09M","-0.78%"
"Sep 05, 2016","6,879.42","6,894.60","6,910.66","6,867.08","556.66M","-0.22%"
"Sep 02, 2016","6,894.60","6,745.97","6,928.25","6,745.97","1.18B","2.20%"
"Sep 01, 2016","6,745.97","6,781.51","6,826.22","6,723.21","991.76M","-0.52%"
"Aug 31, 2016","6,781.51","6,820.79","6,832.89","6,779.54","942.42M","-0.58%"
"Aug 30, 2016","6,820.79","6,838.05","6,851.83","6,808.07","741.10M","-0.25%"
"Aug 26, 2016","6,838.05","6,816.90","6,857.29","6,798.82","532.51M","0.31%"
"Aug 25, 2016","6,816.90","6,835.78","6,836.22","6,779.15","657.67M","-0.28%"
"Aug 24, 2016","6,835.78","6,868.51","6,868.51","6,825.22","748.05M","-0.48%"
"Aug 23, 2016","6,868.51","6,828.54","6,885.39","6,828.54","722.22M","0.59%"
"Aug 22, 2016","6,828.54","6,858.95","6,884.61","6,812.07","616.67M","-0.44%"
"Aug 19, 2016","6,858.95","6,868.96","6,871.48","6,840.94","702.48M","-0.15%"
"Aug 18, 2016","6,868.96","6,859.15","6,893.35","6,850.61","579.27M","0.14%"
"Aug 17, 2016","6,859.15","6,893.92","6,920.76","6,849.90","716.29M","-0.50%"
"Aug 16, 2016","6,893.92","6,941.19","6,941.19","6,893.92","643.22M","-0.68%"
"Aug 15, 2016","6,941.19","6,916.02","6,955.34","6,907.17","551.50M","0.36%"
"Aug 12, 2016","6,916.02","6,914.71","6,931.04","6,896.04","686.79M","0.02%"
"Aug 11, 2016","6,914.71","6,866.42","6,914.71","6,812.73","758.10M","0.70%"
"Aug 10, 2016","6,866.42","6,851.30","6,866.42","6,820.04","736.64M","0.22%"
"Aug 09, 2016","6,851.30","6,809.13","6,863.10","6,807.76","869.31M","0.62%"
"Aug 08, 2016","6,809.13","6,793.47","6,829.47","6,781.47","754.48M","0.23%"
"Aug 05, 2016","6,793.47","6,740.16","6,802.41","6,738.57","880.80M","0.79%"
"Aug 04, 2016","6,740.16","6,634.40","6,749.67","6,615.83","1.00B","1.59%"
"Aug 03, 2016","6,634.40","6,645.40","6,673.63","6,621.42","797.08M","-0.17%"
"Aug 02, 2016","6,645.40","6,693.95","6,694.14","6,630.76","822.03M","-0.73%"
"Aug 01, 2016","6,693.95","6,724.43","6,769.41","6,678.45","727.71M","-0.45%"
"Jul 29, 2016","6,724.43","6,721.06","6,740.47","6,691.13","921.70M","0.05%"
"Jul 28, 2016","6,721.06","6,750.43","6,762.72","6,718.90","1.20B","-0.44%"
"Jul 27, 2016","6,750.43","6,724.03","6,780.05","6,723.71","786.51M","0.39%"
"Jul 26, 2016","6,724.03","6,710.13","6,744.80","6,708.58","737.76M","0.21%"
"Jul 25, 2016","6,710.13","6,730.48","6,756.13","6,691.03","682.06M","-0.30%"
"Jul 22, 2016","6,730.48","6,699.89","6,735.94","6,663.72","716.11M","0.46%"
"Jul 21, 2016","6,699.89","6,728.99","6,732.07","6,694.52","809.67M","-0.43%"
"Jul 20, 2016","6,728.99","6,697.37","6,736.57","6,694.36","767.73M","0.47%"
"Jul 19, 2016","6,697.37","6,695.42","6,711.69","6,660.87","634.74M","0.03%"
"Jul 18, 2016","6,695.42","6,669.24","6,715.58","6,653.67","878.07M","0.39%"
"Jul 15, 2016","6,669.24","6,654.47","6,669.24","6,616.51","839.25M","0.22%"
"Jul 14, 2016","6,654.47","6,670.40","6,743.42","6,648.40","924.14M","-0.24%"
"Jul 13, 2016","6,670.40","6,680.69","6,717.17","6,654.64","1.06B","-0.15%"
"Jul 12, 2016","6,680.69","6,682.86","6,703.09","6,663.66","1.17B","-0.03%"
"Jul 11, 2016","6,682.86","6,590.64","6,695.07","6,590.64","968.34M","1.40%"
"Jul 08, 2016","6,590.64","6,533.79","6,605.83","6,515.24","937.84M","0.87%"
"Jul 07, 2016","6,533.79","6,463.59","6,579.25","6,463.59","1.05B","1.09%"
"Jul 06, 2016","6,463.59","6,545.37","6,580.32","6,432.47","1.61B","-1.25%"
"Jul 05, 2016","6,545.37","6,522.26","6,561.58","6,472.25","1.18B","0.35%"
"Jul 04, 2016","6,522.26","6,577.83","6,612.13","6,514.81","748.24M","-0.84%"
"Jul 01, 2016","6,577.83","6,504.33","6,587.44","6,498.56","1.10B","1.13%"
"Jun 30, 2016","6,504.33","6,360.06","6,504.33","6,309.98","1.56B","2.27%"
"Jun 29, 2016","6,360.06","6,140.39","6,360.06","6,140.39","1.50B","3.58%"
"Jun 28, 2016","6,140.39","5,982.20","6,170.26","5,982.20","1.59B","2.64%"
"Jun 27, 2016","5,982.20","6,138.69","6,138.69","5,958.66","2.51B","-2.55%"
"Jun 24, 2016","6,138.69","6,338.10","6,338.55","5,788.74","3.88B","-3.15%"
"Jun 23, 2016","6,338.10","6,261.19","6,380.58","6,261.19","915.16M","1.23%"
"Jun 22, 2016","6,261.19","6,226.55","6,315.62","6,222.01","884.65M","0.56%"
"Jun 21, 2016","6,226.55","6,204.00","6,250.19","6,156.23","842.01M","0.36%"
"Jun 20, 2016","6,204.00","6,021.09","6,236.53","6,021.09","1.01B","3.04%"
"Jun 17, 2016","6,021.09","5,950.48","6,046.10","5,950.48","1.31B","1.19%"
"Jun 16, 2016","5,950.48","5,966.80","5,966.80","5,899.97","815.96M","-0.27%"
"Jun 15, 2016","5,966.80","5,923.53","6,007.49","5,923.39","868.08M","0.73%"
"Jun 14, 2016","5,923.53","6,044.97","6,044.97","5,921.72","983.53M","-2.01%"
"Jun 13, 2016","6,044.97","6,115.76","6,115.76","6,044.97","852.84M","-1.16%"
"Jun 10, 2016","6,115.76","6,231.89","6,231.89","6,097.24","748.34M","-1.86%"
"Jun 09, 2016","6,231.89","6,301.52","6,301.73","6,229.07","668.49M","-1.10%"
"Jun 08, 2016","6,301.52","6,284.53","6,304.51","6,263.80","663.11M","0.27%"
"Jun 07, 2016","6,284.53","6,273.40","6,322.60","6,273.40","690.00M","0.18%"
"Jun 06, 2016","6,273.40","6,209.63","6,301.56","6,209.63","732.58M","1.03%"
"Jun 03, 2016","6,209.63","6,185.61","6,251.74","6,168.19","660.72M","0.39%"
"Jun 02, 2016","6,185.61","6,191.93","6,220.27","6,173.05","892.21M","-0.10%"
"Jun 01, 2016","6,191.93","6,230.79","6,233.18","6,151.90","887.24M","-0.62%"
"May 31, 2016","6,230.79","6,270.79","6,290.07","6,230.11","1.33B","-0.64%"
"May 27, 2016","6,270.79","6,265.65","6,275.90","6,250.27","577.10M","0.08%"
"May 26, 2016","6,265.65","6,262.85","6,281.73","6,243.49","665.57M","0.04%"
