,ASXreturn,ASXvol,DAXreturn,DAXvol,FTSEreturn,FTSEvol,HSreturn,HSvol,NIKreturn,NIKvol,SNPnegative,SNPpositive,SNPvol
44,0.4046291294928951,0.2483313525440678,0.5135011079025599,0.22401134689253166,0.4454179988313952,0.08996705292410609,0.456624136654511,0.14836383353270932,0.559259660106333,0.062884358365388,1.0,0.0,0.47213392184182307
45,0.4208093646868053,0.23857606061735012,0.4717253490010765,0.13838925819351663,0.45130927137185833,0.10942389577359032,0.44646603349869474,0.05114586905071515,0.4881553749742561,0.09934945593124368,0.0,1.0,0.14071749516036672
46,0.5505420835417261,0.23857606061735012,0.5784919216211084,0.13838925819351663,0.5660791144149937,0.10942389577359032,0.5873761196948842,0.05114586905071515,0.5068038471568728,0.09934945593124368,0.0,1.0,0.14071749516036672
47,0.5505420835417261,0.23857606061735012,0.5784919216211084,0.13838925819351663,0.5660791144149937,0.10942389577359032,0.5873761196948842,0.05114586905071515,0.5068038471568728,0.09934945593124368,0.0,1.0,0.14071749516036672
48,0.48271764545419443,0.2676408183253437,0.40135536435914926,0.2724133756227771,0.42740045984343744,0.13535895268583897,0.5356610675937935,0.12622723178745937,0.46046250505965014,0.11462763717309603,1.0,0.0,0.35310377528316816
49,0.5020891386436532,0.12564277562731105,0.5844364905664428,0.12519774497630098,0.5578677782847301,0.057063948954597134,0.6322855276949462,0.07990864495220981,0.45507011253819246,0.09460967546848235,0.0,1.0,0.17420151902418277
50,0.6508160543276814,0.15516253862133847,0.7060095961777184,0.2413562703893733,0.7374537849687852,0.13491744520101806,0.6907441276315248,0.17924722038599455,0.5559096772539204,0.08913111156421033,0.0,1.0,0.16871045681789476
51,0.5558685775355572,0.15991266261549666,0.47085756368114773,0.35953922310480685,0.49831741311323857,0.17429970286848295,0.5078345380777837,0.1981319709748403,0.6120499477378593,0.07168791609435415,1.0,0.0,0.23929179116816549
52,0.7162536379599582,0.4107367259067142,0.9457043910270183,0.37890612620895936,0.7385107072279975,0.2315000605203685,0.8073689894086826,0.3760152474508297,0.6024520933454006,0.2635870644484833,0.0,1.0,0.44297993572027966
53,0.5505420835417261,0.4107367259067142,0.5784919216211084,0.37890612620895936,0.5660791144149937,0.2315000605203685,0.5873761196948842,0.3760152474508297,0.5068038471568728,0.2635870644484833,0.0,1.0,0.44297993572027966
54,0.5505420835417261,0.4107367259067142,0.5784919216211084,0.37890612620895936,0.5660791144149937,0.2315000605203685,0.5873761196948842,0.3760152474508297,0.5068038471568728,0.2635870644484833,0.0,1.0,0.44297993572027966
55,0.6767651428499132,0.2730116731818649,0.6839361172295596,0.3084735860624108,0.7173701584377306,0.11392147539036138,0.5873761196948842,0.3760152474508297,0.5044598993207708,0.09785308491868264,0.0,1.0,0.1181661520114213
56,0.5316548623985295,0.10487961547484996,0.685681193233376,0.16010269621928888,0.6673386817825531,0.07945369480137307,0.7394889036549745,0.21433457775695688,0.5516487221793417,0.06245711169590718,0.0,1.0,0.12657083689566165
57,0.6972917277461084,0.2159495125855685,0.5612085851652195,0.0981759177550364,0.5591270403867062,0.03357928954178564,0.5742399543757545,0.08239154023119091,0.533321988026039,0.02889409616653187,0.0,1.0,0.12657083689566165
58,0.5408642935369495,0.08926489471035051,0.5407300427840185,0.39411562530415456,0.5834906044991106,0.10274259264124813,0.6380831229042838,0.1786844964300263,0.4896782144697425,0.052832259357387126,1.0,0.0,0.11997709197909756
59,0.5137387601624688,0.11611156358363132,0.4157535299194261,0.2977317280622801,0.5021580412864431,0.0685921103383442,0.5830658886268748,0.07514717266892398,0.46519635305463003,0.10321812199615216,1.0,0.0,0.24446105083269073
